syscall-sensor,26259,71293.169362,273
syscall-sensor,26260,71293.169367,273
syscall-sensor,26259,71293.169372,9
syscall-sensor,26260,71293.169377,9
syscall-sensor,26259,71293.169378,11
syscall-sensor,26260,71293.169382,11
syscall-sensor,26259,71293.169388,10
syscall-sensor,26260,71293.169395,10
syscall-sensor,26260,71293.169413,293
syscall-sensor,26260,71293.169419,56
syscall-sensor,26259,71293.169421,202
gnome-terminal-,9543,71293.169450,0
gnome-terminal-,9543,71293.169463,1
gnome-terminal-,9543,71293.169467,0
gnome-terminal-,9543,71293.169470,0
gnome-terminal-,9543,71293.169473,1
gnome-terminal-,9543,71293.169481,47
gnome-terminal-,9543,71293.169489,7
gnome-terminal-,9543,71293.169495,47
gnome-terminal-,9543,71293.169497,7
gnome-terminal-,9543,71293.169499,0
gnome-terminal-,9543,71293.169502,47
gnome-terminal-,9543,71293.169503,7
syscall-sensor,26260,71293.169515,202
syscall-sensor,26260,71293.169518,3
syscall-sensor,26260,71293.169519,72
syscall-sensor,26260,71293.169521,5
syscall-sensor,26260,71293.169525,0
sh,26261,71293.169592,273
syscall-sensor,26259,71293.169608,202
syscall-sensor,26259,71293.169619,293
syscall-sensor,26259,71293.169625,56
sh,26261,71293.169632,33
sh,26261,71293.169637,59
syscall-sensor,26259,71293.169730,202
syscall-sensor,26259,71293.169733,3
syscall-sensor,26259,71293.169734,72
syscall-sensor,26259,71293.169736,5
syscall-sensor,26259,71293.169740,0
sh,26262,71293.169798,273
sh,26262,71293.169841,33
sh,26262,71293.169843,3
sh,26262,71293.169847,59
sh,26261,71293.169938,12
sh,26261,71293.169955,21
sh,26261,71293.169959,9
sh,26261,71293.169965,21
sh,26261,71293.169970,2
sh,26261,71293.169974,5
sh,26261,71293.169976,9
sh,26261,71293.169978,3
sh,26261,71293.169984,21
sh,26261,71293.170003,2
sh,26261,71293.170007,0
sh,26261,71293.170010,5
sh,26261,71293.170012,9
sh,26261,71293.170016,10
sh,26261,71293.170024,9
sh,26261,71293.170035,9
sh,26261,71293.170044,3
sh,26261,71293.170058,9
sh,26262,71293.170059,12
sh,26261,71293.170064,9
sh,26261,71293.170067,9
sh,26261,71293.170070,158
sh,26262,71293.170075,21
sh,26262,71293.170079,9
sh,26262,71293.170088,21
sh,26262,71293.170093,2
sh,26262,71293.170097,5
sh,26262,71293.170099,9
sh,26262,71293.170101,3
sh,26262,71293.170106,21
sh,26262,71293.170119,2
sh,26262,71293.170122,0
sh,26262,71293.170125,5
sh,26261,71293.170126,10
sh,26262,71293.170127,9
sh,26262,71293.170131,10
sh,26262,71293.170138,9
sh,26262,71293.170148,9
sh,26262,71293.170156,3
sh,26261,71293.170168,10
sh,26262,71293.170170,9
sh,26261,71293.170173,10
