         firefox-17168 [000] .... 19949.962861: sys_enter: NR 47 (4, 7ffdfcc4c2a0, 0, 7fc8bb400221, 7fc8bb3fa018, 7fc881923000)
         firefox-17168 [000] .... 19949.962862: sys_enter: NR 45 (4, 7fc88943a090, 4, 0, 0, 0)
         firefox-17168 [000] .... 19949.962863: sys_enter: NR 7 (7ffdfcc4c210, 1, ffffffff, 0, 0, 0)
            Xorg-12396 [000] .... 19949.962964: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1b91bc10, 1, 0)
         firefox-17168 [000] .... 19949.962968: sys_enter: NR 45 (4, 7fc88943a090, 4, 0, 0, 0)
         firefox-17168 [000] .... 19949.962971: sys_enter: NR 47 (4, 7ffdfcc4c420, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.962973: sys_enter: NR 47 (4, 7ffdfcc4c420, 0, 7fc8bb400220, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.962975: sys_enter: NR 7 (7ffdfcc4c320, 1, ffffffff, 7fc8bb400220, 0, 0)
         firefox-17168 [000] .... 19949.962976: sys_enter: NR 20 (4, 7ffdfcc4c490, 3, 7fc8bb400220, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.962977: sys_enter: NR 7 (7ffdfcc4c340, 1, ffffffff, 7fc8bb400220, 0, 7fc8818f200c)
            Xorg-12396 [000] .... 19949.962979: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1b91bc10, 1000, 1)
            Xorg-12396 [000] .... 19949.962981: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.962983: sys_enter: NR 47 (4, 7ffdfcc4c260, 0, 7fc8bb400220, 7fc8bb3fa018, 7fc8818f200c)
         firefox-17168 [000] .... 19949.962985: sys_enter: NR 47 (4, 7ffdfcc4c3e0, 0, 8, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.962986: sys_enter: NR 47 (4, 7ffdfcc4c3e0, 0, 8, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.962994: sys_enter: NR 7 (7ffdfcc4c380, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19949.962995: sys_enter: NR 20 (4, 7ffdfcc4c4f0, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.962996: sys_enter: NR 7 (7ffdfcc4c3a0, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881923000)
            Xorg-12396 [000] .... 19949.962998: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.962999: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.963001: sys_enter: NR 47 (4, 7ffdfcc4c2c0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923000)
         firefox-17168 [000] .... 19949.963003: sys_enter: NR 47 (4, 7ffdfcc4c440, 0, 8, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964642: sys_enter: NR 47 (4, 7ffdfcc4c680, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964643: sys_enter: NR 7 (7ffdfcc4c580, 1, ffffffff, 0, 0, 0)
         firefox-17168 [000] .... 19949.964644: sys_enter: NR 20 (4, 7ffdfcc4c6f0, 3, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964645: sys_enter: NR 7 (7ffdfcc4c5a0, 1, ffffffff, 7fc8bb400221, 0, 7fc881923000)
            Xorg-12396 [000] .... 19949.964647: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1b91bc10, 1000, 1)
            Xorg-12396 [000] .... 19949.964647: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.964649: sys_enter: NR 47 (4, 7ffdfcc4c4c0, 0, 7fc8bb400221, 7fc8bb3fa018, 7fc881923000)
         firefox-17168 [000] .... 19949.964650: sys_enter: NR 47 (4, 7ffdfcc4c640, 0, 8, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964651: sys_enter: NR 47 (4, 7ffdfcc4c640, 0, 7fc8bb400220, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964658: sys_enter: NR 7 (7ffdfcc4c5e0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19949.964659: sys_enter: NR 20 (4, 7ffdfcc4c750, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964659: sys_enter: NR 7 (7ffdfcc4c600, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818f200c)
            Xorg-12396 [000] .... 19949.964688: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.964691: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.964694: sys_enter: NR 47 (4, 7ffdfcc4c520, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818f200c)
         firefox-17168 [000] .... 19949.964697: sys_enter: NR 47 (4, 7ffdfcc4c6a0, 0, 7fc8bb400221, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964698: sys_enter: NR 47 (4, 7ffdfcc4c6a0, 0, 7fc8bb400221, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964699: sys_enter: NR 7 (7ffdfcc4c600, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19949.964700: sys_enter: NR 20 (4, 7ffdfcc4c770, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964701: sys_enter: NR 7 (7ffdfcc4c620, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881923000)
            Xorg-12396 [000] .... 19949.964703: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.964708: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.964710: sys_enter: NR 47 (4, 7ffdfcc4c540, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923000)
         firefox-17168 [000] .... 19949.964711: sys_enter: NR 47 (4, 7ffdfcc4c6c0, 0, 8, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964712: sys_enter: NR 47 (4, 7ffdfcc4c6c0, 0, 7fc8bb400220, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964717: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19949.964718: sys_enter: NR 20 (4, 7ffdfcc4c760, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964719: sys_enter: NR 7 (7ffdfcc4c610, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818f200c)
            Xorg-12396 [000] .... 19949.964721: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.964722: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.964724: sys_enter: NR 47 (4, 7ffdfcc4c530, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818f200c)
         firefox-17168 [000] .... 19949.964726: sys_enter: NR 47 (4, 7ffdfcc4c6b0, 0, 7fc8bb400221, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964726: sys_enter: NR 47 (4, 7ffdfcc4c6b0, 0, 7fc8bb400221, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964727: sys_enter: NR 7 (7ffdfcc4c610, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19949.964728: sys_enter: NR 20 (4, 7ffdfcc4c780, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964729: sys_enter: NR 7 (7ffdfcc4c630, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881923000)
            Xorg-12396 [000] .... 19949.964734: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.964738: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.964741: sys_enter: NR 47 (4, 7ffdfcc4c550, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923000)
         firefox-17168 [000] .... 19949.964742: sys_enter: NR 47 (4, 7ffdfcc4c6d0, 0, 8, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964743: sys_enter: NR 47 (4, 7ffdfcc4c6d0, 0, 7fc8bb400220, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964759: sys_enter: NR 7 (7ffdfcc4c550, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.964760: sys_enter: NR 20 (4, 7ffdfcc4c6c0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964761: sys_enter: NR 7 (7ffdfcc4c570, 1, ffffffff, 80000, 0, e60)
            Xorg-12396 [000] .... 19949.964862: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.964866: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 1, 1, 0)
         firefox-17168 [000] .... 19949.964871: sys_enter: NR 47 (4, 7ffdfcc4c490, 0, 80000, 7fc8bb3fa018, e60)
         firefox-17168 [000] .... 19949.964875: sys_enter: NR 47 (4, 7ffdfcc4c610, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964876: sys_enter: NR 47 (4, 7ffdfcc4c610, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964880: sys_enter: NR 7 (7ffdfcc4c5d0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.964881: sys_enter: NR 20 (4, 7ffdfcc4c740, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.964882: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 1, 0, 7fc881923000)
            Xorg-12396 [000] .... 19949.964884: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.964886: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1b91bc10, 1, 0)
         firefox-17168 [000] .... 19949.964888: sys_enter: NR 47 (4, 7ffdfcc4c510, 0, 1, 7fc8bb3fa018, 7fc881923000)
         firefox-17168 [000] .... 19949.964889: sys_enter: NR 45 (4, 7fc88943a090, 4, 0, 0, 0)
         firefox-17168 [000] .... 19949.964890: sys_enter: NR 7 (7ffdfcc4c480, 1, ffffffff, 0, 0, 0)
            Xorg-12396 [000] .... 19949.964891: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1b91bc10, 1, 0)
         firefox-17168 [000] .... 19949.964893: sys_enter: NR 45 (4, 7fc88943a090, 4, 0, 0, 0)
         firefox-17168 [000] .... 19949.964894: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973111: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973112: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973114: sys_enter: NR 7 (7ffdfcc4c310, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19949.973114: sys_enter: NR 20 (4, 7ffdfcc4c480, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973115: sys_enter: NR 7 (7ffdfcc4c330, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881923004)
            Xorg-12396 [000] .... 19949.973120: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19949.973121: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19949.973125: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19949.973126: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.973127: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.973128: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19949.973133: sys_enter: NR 47 (4, 7ffdfcc4c250, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923004)
         firefox-17168 [000] .... 19949.973135: sys_enter: NR 47 (4, 7ffdfcc4c3d0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973136: sys_enter: NR 47 (4, 7ffdfcc4c3d0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973244: sys_enter: NR 7 (7ffdfcc4c2e0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.973246: sys_enter: NR 20 (4, 7ffdfcc4c450, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973251: sys_enter: NR 7 (7ffdfcc4c300, 1, ffffffff, 7fc8bb400221, 0, 7fc881923004)
            Xorg-12396 [000] .... 19949.973264: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19949.973265: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19949.973269: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19949.973270: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.973271: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.973273: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19949.973279: sys_enter: NR 47 (4, 7ffdfcc4c220, 0, 7fc8bb400221, 7fc8bb3fa018, 7fc881923004)
         firefox-17168 [000] .... 19949.973282: sys_enter: NR 47 (4, 7ffdfcc4c3a0, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973283: sys_enter: NR 47 (4, 7ffdfcc4c3a0, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973286: sys_enter: NR 7 (7ffdfcc4c360, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.973287: sys_enter: NR 20 (4, 7ffdfcc4c4d0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973288: sys_enter: NR 7 (7ffdfcc4c380, 1, ffffffff, 1, 0, 7fc881923004)
            Xorg-12396 [000] .... 19949.973294: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19949.973295: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19949.973307: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973310: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973311: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1f1d8d20, 1000, 1)
            Xorg-12396 [000] .... 19949.973312: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1f1d8d20, 1000, 1)
            Xorg-12396 [000] .... 19949.973314: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19949.973323: sys_enter: NR 47 (4, 7ffdfcc4c2a0, 0, 1, 7fc8bb3fa018, 7fc881923004)
         firefox-17168 [000] .... 19949.973326: sys_enter: NR 47 (4, 7ffdfcc4c420, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973326: sys_enter: NR 47 (4, 7ffdfcc4c420, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973328: sys_enter: NR 7 (7ffdfcc4c360, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.973328: sys_enter: NR 20 (4, 7ffdfcc4c4d0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973330: sys_enter: NR 7 (7ffdfcc4c380, 1, ffffffff, 1, 0, 7fc881923004)
            Xorg-12396 [000] .... 19949.973335: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19949.973336: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19949.973338: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973339: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973340: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1f1d8d20, 1000, 1)
            Xorg-12396 [000] .... 19949.973340: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1f1d8d20, 1000, 1)
            Xorg-12396 [000] .... 19949.973341: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19949.973346: sys_enter: NR 47 (4, 7ffdfcc4c2a0, 0, 1, 7fc8bb3fa018, 7fc881923004)
         firefox-17168 [000] .... 19949.973348: sys_enter: NR 47 (4, 7ffdfcc4c420, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973349: sys_enter: NR 47 (4, 7ffdfcc4c420, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973350: sys_enter: NR 7 (7ffdfcc4c360, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.973350: sys_enter: NR 20 (4, 7ffdfcc4c4d0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973351: sys_enter: NR 7 (7ffdfcc4c380, 1, ffffffff, 1, 0, 7fc881923004)
            Xorg-12396 [000] .... 19949.973356: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19949.973357: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19949.973358: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973359: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973360: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1f1d8d20, 1000, 1)
            Xorg-12396 [000] .... 19949.973500: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.973501: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19949.973506: sys_enter: NR 47 (4, 7ffdfcc4c2f0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923004)
         firefox-17168 [000] .... 19949.973508: sys_enter: NR 47 (4, 7ffdfcc4c470, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973509: sys_enter: NR 47 (4, 7ffdfcc4c470, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973526: sys_enter: NR 7 (7ffdfcc4c2f0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.973527: sys_enter: NR 20 (4, 7ffdfcc4c460, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973530: sys_enter: NR 7 (7ffdfcc4c310, 1, ffffffff, 7fc8bb400221, 0, 7fc881923004)
            Xorg-12396 [000] .... 19949.973538: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19949.973539: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19949.973542: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19949.973543: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.973543: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19949.973545: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
 gnome-terminal--13247 [000] .... 19949.973577: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973583: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 0)
 gnome-terminal--13247 [000] .... 19949.973585: sys_enter: NR 0 (10, 24b2d49, 1a73, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973586: sys_enter: NR 0 (10, 24b2d4b, 1a71, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973588: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973591: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973594: sys_enter: NR 7 (2887a00, f, 18, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973598: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19949.973599: sys_enter: NR 7 (2887a00, f, 18, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973601: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973603: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19949.973604: sys_enter: NR 7 (2887a00, f, 18, 25eee20, f, 1)
         firefox-17168 [000] .... 19949.973609: sys_enter: NR 47 (4, 7ffdfcc4c230, 0, 7fc8bb400221, 7fc8bb3fa018, 7fc881923004)
         firefox-17168 [000] .... 19949.973613: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973614: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973618: sys_enter: NR 7 (7ffdfcc4c370, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19949.973619: sys_enter: NR 20 (4, 7ffdfcc4c4e0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19949.973622: sys_enter: NR 7 (7ffdfcc4c390, 1, ffffffff, 1, 0, 7fc881923004)
            Xorg-12396 [000] .... 19949.973632: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19949.973634: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19949.973636: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973637: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1f1d8d20, 1, 0)
            Xorg-12396 [000] .... 19949.973638: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1f1d8d20, 1000, 1)
            Xorg-12396 [000] .... 19949.973639: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1f1d8d20, 1000, 1)
            Xorg-12396 [000] .... 19949.973641: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
 gnome-terminal--13247 [000] .... 19949.973803: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973808: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 1)
 gnome-terminal--13247 [000] .... 19949.973809: sys_enter: NR 0 (10, 24b2d4b, 1a71, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973811: sys_enter: NR 0 (10, 24b2d68, 1a54, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973812: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973814: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19949.973817: sys_enter: NR 7 (2887a00, f, 18, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973821: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19949.973822: sys_enter: NR 7 (2887a00, f, 18, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973834: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19949.973838: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19949.973840: sys_enter: NR 7 (2887a00, f, 17, 25eee20, f, 1)
        Telegram-13233 [000] .... 19949.973864: sys_enter: NR 0 (6, 7ffdfdf6d250, 10, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19949.973881: sys_enter: NR 1 (6, 7ffdfdf6cbc0, 8, 40eb820, 1, 26)
        Telegram-13233 [000] .... 19949.973885: sys_enter: NR 47 (f, 7ffdfdf6d0a0, 0, 40eb820, 3ff2728, 26)
        Telegram-13233 [000] .... 19949.973887: sys_enter: NR 7 (3f3a700, 6, 0, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19949.973895: sys_enter: NR 7 (7ffdfdf6c7e0, 1, ffffffff, 40d2c60, 0, 0)
        Telegram-13233 [000] .... 19949.973896: sys_enter: NR 20 (4, 7ffdfdf6c910, 1, 40d2c60, 3de5d08, 0)
        Telegram-13233 [000] .... 19949.973900: sys_enter: NR 202 (7ffdfdf6c994, 80, 1, 0, 3de5d00, 0)
         firefox-17168 [000] .... 19949.973904: sys_enter: NR 47 (4, 7ffdfcc4c2b0, 0, 1, 7fc8bb3fa018, 7fc881923004)
         firefox-17168 [000] .... 19949.973908: sys_enter: NR 47 (4, 7ffdfcc4c430, 0, 1, 7fc8bb3fa018, 0)
 gnome-terminal--13247 [000] .... 19949.987582: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
