            Xorg-12396 [000] .... 19948.717079: sys_enter: NR 16 (d, 40086450, 7ffe35f142e0, 562d1bba1730, 562d1b382830, 562d1b3820b0)
            Xorg-12396 [000] .... 19948.717088: sys_enter: NR 20 (1d, 7ffe35f14780, 1, 1, 1, 562d1b382000)
            Xorg-12396 [000] .... 19948.717092: sys_enter: NR 47 (1d, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.717093: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.717094: sys_enter: NR 16 (b, 40206452, 7ffe35f14560, 562d1f1d8d20, 562d1f1d8d30, 10d7c9ee)
            Xorg-12396 [000] .... 19948.717104: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
          compiz-12999 [000] .... 19948.717114: sys_enter: NR 47 (5, 7ffc64df6e90, 0, 2637170, 18a6d58, 0)
          compiz-12999 [000] .... 19948.717117: sys_enter: NR 47 (5, 7ffc64df7010, 0, 2651db0, 18a6d58, 0)
          compiz-12999 [000] .... 19948.717118: sys_enter: NR 47 (5, 7ffc64df7010, 0, 2651db0, 18a6d58, 0)
          compiz-12999 [000] .... 19948.717134: sys_enter: NR 7 (7ffc64df7310, 1, ffffffff, 2651db0, 0, 0)
          compiz-12999 [000] .... 19948.717135: sys_enter: NR 20 (5, 7ffc64df7480, 3, 2651db0, 18a6d58, 0)
         firefox-17168 [000] .... 19948.892910: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892910: sys_enter: NR 7 (7ffdfcc4c480, 1, ffffffff, 0, 0, 0)
            Xorg-12396 [000] .... 19948.892912: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe66f90, 1, 0)
         firefox-17168 [000] .... 19948.892913: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892914: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892915: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892916: sys_enter: NR 7 (7ffdfcc4c5d0, 1, ffffffff, 0, 0, 0)
         firefox-17168 [000] .... 19948.892916: sys_enter: NR 20 (4, 7ffdfcc4c740, 3, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892917: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 0, 0, 7fc8818b2000)
            Xorg-12396 [000] .... 19948.892918: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe66f90, 1000, 1)
            Xorg-12396 [000] .... 19948.892920: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe66f90, 1, 0)
         firefox-17168 [000] .... 19948.892921: sys_enter: NR 47 (4, 7ffdfcc4c510, 0, 0, 7fc8bb3fa018, 7fc8818b2000)
         firefox-17168 [000] .... 19948.892922: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892922: sys_enter: NR 7 (7ffdfcc4c480, 1, ffffffff, 0, 0, 0)
            Xorg-12396 [000] .... 19948.892924: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe66f90, 1, 0)
         firefox-17168 [000] .... 19948.892925: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892926: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892927: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892928: sys_enter: NR 7 (7ffdfcc4c590, 1, ffffffff, 0, 0, 0)
         firefox-17168 [000] .... 19948.892928: sys_enter: NR 20 (4, 7ffdfcc4c700, 3, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892929: sys_enter: NR 7 (7ffdfcc4c5b0, 1, ffffffff, 0, 0, 7fc8818b2000)
            Xorg-12396 [000] .... 19948.892930: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe66f90, 1000, 1)
            Xorg-12396 [000] .... 19948.892931: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
         firefox-17168 [000] .... 19948.892933: sys_enter: NR 47 (4, 7ffdfcc4c4d0, 0, 0, 7fc8bb3fa018, 7fc8818b2000)
         firefox-17168 [000] .... 19948.892934: sys_enter: NR 47 (4, 7ffdfcc4c650, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892935: sys_enter: NR 47 (4, 7ffdfcc4c650, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892945: sys_enter: NR 7 (7ffdfcc4c550, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19948.892946: sys_enter: NR 20 (4, 7ffdfcc4c6c0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892947: sys_enter: NR 7 (7ffdfcc4c570, 1, ffffffff, 1, 0, 7fc8818b2000)
